Id,Name,Price,Description
13,Много Лосося (40шт/1330г),1199,"Ролл с лососем, сыром филадельфия, манго, омлетом тамаго-унаги, салатом айсберг.

и апельсиновым соусом;

Ролл с лососем панко, сыром филадельфия, манго, салатом айсберг, соусом.

унаги в кунжуте;

Ролл с лососем, сыром филадельфия, манго, омлетом тамаго-унаги и соусом манго-чили

Феликс ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, огурцом, икрой тобика и черным кунжутом;

Ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, салатом айсберг и огурцом"
14,Мастер (48шт/1520г),999,"Ролл с креветкой-панко, сыром филадельфия, манго, салатом айсберг и соусом манго-чили;

Феликс-ролл с масляной рыбой, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг, соусом спайси и икрой тобика;

Ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, салатом айзберг и огурцом;

Ролл с сурими-кимчи, огурцом, омлетом тамаго-унаги в икре тобика;

Ролл с сыром филадельфия, омлетом тамаго-унаг и чукой, болгарским перцем и огурцом в кунжуте и соусом унаги;

Ролл с курицей панко, огурцом, помидорами, сыром филадельфия, салатом айсберг в икре тобика"
15,Красный дракон (8шт/295г),339,"Ролл-дракон з лососем, сурімі кімчі, сиром філадельфія, ікрою тобіко, манго, омлетом тамаго та зеленою цибулею"
16,Зеленый дракон ( 8шт/310г),319,"Ролл-дракон зі смаженим лососем, вугром, сиром філадельфія, кампіо солодким шіїтаке, огірком, авокадо, кунжутом та соусом унагi"
17,Филадельфия (8шт/305г),190259,"Ролл со 100 граммовым лососем, сыром филадельфия и огурцом"
18,Морской микс (24шт/785г),589,"Ролл с креветкой-панко, сыром филадельфия, манго, салатом айсберг и

соусом манго-чили

Ролл с масляной рыбой, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг, соусом Спайси и икрой тобика

Ролл с лососем, сыром филадельфия, манго, омлетом тамаго-унаги и

соусом манго-чили"
19,Филадельфия с тунцом (270г),239,"Ролл с тунцом, сыром филадельфия, огурцом и соуом спайси-гьодза"
20,Тандем (24шт/750г),499,"Ролл с лососем панко, сыром филадельфия, манго, салатом айсберг, соусом.

унаги в кунжуте

Ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, салатом

айсберг и огурец

Ролл с сурими-кимчи, огурцом, омлетом тамаго-унаги в икре тобика"
21,Филадельфия с угрем (255г),249,"Ролл с угрем, сыром филадельфия, огурцом и соуом унаги"
22,Филадельфия с креветкой (265г),199,"Ролл с креветкой сыром филадельфия, огурцом и соуом манго-чили"
23,Три Дракона (24шт/840г),959,"Зеленый дракон:

ролл с лососем и угрем панко, сыром Филадельфия, омлет тамаго-унаги, огурцом, икрой тобико, авокадо, кунжутом и соусом унаги.

Огненный дракон:

ролл с карамелизированным лососем, сыром Филадельфия, сыром дор блю, грушей, омлет тамаго-унаги, икрой тобико и соусом манго-чили.

Золотой дракон:

ролл с угрем, лососем панко, сыром Филадельфия, омлет тамаго-унаги, болгарским перцем, огурцом, икрой тобико, кунжутом и соусом унаги"
24,Филадельфия Сезам (230г),119,"Ролл с сыром филадельфия, огурец и соуом унаги в кунжуте"
25,Филаделфия макси (8шт/305г0,369,"Оригинальный ролл со 100 граммовым лососем, сыром филадельфия, авокадо и огурцом"
26,Калифорния сяке (8шт/220г),289,"Ролл с лососем, авокадо, огурцом и майонезом в икре тобико"
27,Капа маки (6шт/110г),59,Маки с огурцом и кунжутом
28,Сяке маки (6шт/110г),139,Маки с лососем и васаби
29,Золотой дракон (8шт/295г),339,"рол-дракон з вугром, смаженим лососем, сиром філадельфія, солодкими шіїтаке, огірком, омлетом тамаго-унагі, кунжутом та соусом унагі"
30,Тайский лосось (8шт/340г),349,"Оригинальный ролл с карамелизированным лососем, угрем, сурими кимчи, кампио, сыром филадельфия, сладким шиитаке, огурцом, соусом спайси и манго-чили, зеленым цебулем и жареным шалотом"
31,Феликс ролл с лососем (8 шт/260г),199,"Ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг и икрой тобика"
32,Феликс ролл с масляной ( 8шт/260г),189,"Ролл с масляной рыбой, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг, соусом Спайси и икрой тобика"
33,Лосось оранж (8шт/275г),299,"Ролл с лососем, сыром филадельфия, манго, омлетом тамаго-унаги, салатом айсберг

и апельсиновым соусом"
34,Лосось кранч (8шт/240г),199,"Ролл с лососем панко, сыром филадельфия, манго, салатом айсберг, соусом

унаги в кунжуте"
35,Еби  темпура (8шт/235г),219,"Ролл с креветкой панко, сыром филадельфия, манго, салатом айсберг и

соусом манго-чили"
36,Филадельфия Еби (8шт/260г),219,"Ролл с креветкой, сыром филадельфия, манго, омлетом тамаго-унаги, салатом

айсберг и соусом манго-чили"
